"code";"abbreviation";"description";"explanation"
"301";"FEU_PROXY_ADD_CALLBACK_EVENT_FAILED";"Communication Failure using FEU Proxy";"Reason: Wrong Parameter, out of range,  using FEU Proxy<newline/>Meaning: Communication fails.<newline/>Cure: Load new Software and restart."
"302";"FEU_PROXY_NO_ENVELOPE_GOT";"Communication Failure";"Reason:  SW-Bug, FEU  Module Proxy cannot send command <newline/>Meaning: FEU Proxy got no envelope,  Communication fails. <newline/>Cure: Load new Software, restart."
"303";"FEU_PROXY_PO_FAILED_TO_SEND";"Communication Failure";"Reason:  SW-Bug, FEU  Module Proxy cannot send command<newline/>Meaning: Postoffice failed to send the envelope. Communication fails.<newline/>Cure: Load new Software, restart."
"304";"FEU_NO_ENVELOPE_GOT";"Communication Failure";"Reason:  SW-Bug, FEU  Module cannot send command or response<newline/>Meaning: FEU  Proxy got no envelope,  Communication fails.<newline/>Cure: Load new Software, restart."
"305";"FEU_PO_FAILED_TO_SEND";"Communication Failure";"Reason:  SW-Bug, FEU  Module cannot send command or response<newline/>Meaning: Postoffice failed to send the envelope, Communication fails.<newline/>Cure: Load new Software, restart."
"306";"FEU_Lamp_Fan_Speed_RPM_Too_Low";"Lamp Fan Speed RPM Too Low";"Reason: Lamp Fan Speed RPM Signal Too Low<newline/>Meaning: Fan is stopped, blocked or unconnected. Fan is defect or Electronic board defective at fan circuitry.<newline/>Cure: Restart digitzer, Check fan openings for blocking, Change Flash Erasure Unit."
"307";"FEU_Electronic_Fan_Speed_RPM_Too_Low";"Electronic Fan Speed RPM Too Low";"Reason: Electronic Fan Speed RPM Signal Too Low, fan is stopped or blocked<newline/>Meaning: Fan is stopped, blocked or unconnected. Fan is defect or Electronic board defective at fan circuitry.<newline/>Cure: Restart digitzer, Check fan openings for blocking, Change Flash Erasure Unit."
"308";"FEU_Lamp_Fan_Speed_Pas_Test_Tot";"Lamp Fan Speed RPM measurement timeout in passive Test";"Reason: Lamp Fan Speed RPM Signal not valid. Not enough valid measured values.<newline/>Meaning: Measurement timed out during passive Test. Fan is not correctly connected, Fan is defect or Electronic board defective at fan circuitry.<newline/>Cure: Restart digitzer, Change Flash Erasure Unit."
"309";"FEU_Electronic_Fan_Speed_Pas_Test_Tot";"Electronic Fan Speed RPM measurement timeout in passive Test";"Reason: Electronic Fan Speed RPM Signal not valid, measurement timed out in passive Test. Not enough valid measured values.<newline/>Meaning: Measurement timed out during passive Test. Fan is not correctly connected, Fan is defect or Electronic board defective at fan circuitry.<newline/>Cure: Restart digitzer, Change Flash Erasure Unit."
"310";"FEU_Simmer_Current_Start_Failure";"Simmer Current Start failed after max. number of retries";"Reason: Simmer Current Start failed after maximum number of retries.<newline/>Meaning: Erasure Lamp is worn out, defect, or unable to start the simmer mode and the flash cycle. <newline/>Electronic board may be defective at simmer ingnition ciruitry.<newline/>Cure: Restart Digitzer, Check cables and Erasure Lamp connections, Replace Erasure Lamp, Replace Flash Erasure Unit."
"311";"FEU_Simmer_Protection_Time_Limit_Failure";"Simmer Current Protection failed to react after max. Time Limit";"Reason: Simmer Current Protection failed to react after needed max. Time Limit.<newline/>Meaning: It does not switch off the Simmer Current in the needed time. Active output of error message from HW-Ver. 2 on. Before a warning is generated. Electronic defect at Simmer Current Protection circuitry.<newline/>Cure: Restart digitzer, Change Flash Erasure Unit."
"312";"FEU_Lamp_Fan_Speed_Act_Test_Tot";"Lamp Fan Speed RPM measurement timeout in Active Test";"Reason: Lamp Fan Speed RPM Signal not valid, measurement timed out in active Test. Not enough valid measured values.<newline/>Meaning: Measurement timed out during active Test. Fan is not correctly connected, Fan is defect or Electronic board defective at fan circuitry.<newline/>Cure: Restart digitzer, Change Flash Erasure Unit."
"313";"FEU_Electronic_Fan_Speed_Act_Test_Tot";"Electronic Fan Speed RPM measurement timeout in Active Test";"Reason: Electronic Fan Speed RPM Signal not valid, measurement timed out in active Test. Not enough valid measured values.<newline/>Meaning: Measurement timed out during active Test. Fan is not correctly connected, Fan is defect or Electronic board defective at fan circuitry.<newline/>Cure: Restart digitzer, Change Flash Erasure Unit."
"314";"FEU_Simmer_Cut_Off_During_Run";"Simmer current cut off during active operation mode";"Reason: Simmer current cut off during active flashing operation mode.<newline/>Meaning: Missing of Flashing Time possible. Erasure Result not in valid operation range.<newline/>Check Infocounters if the error repeats in a high rate.<newline/>Cure: If the events of this error (see infocounters) during the same period of cycles increase  then replace Erasure Lamp.  "
"315";"FEU_Liftetime_Test_Cycle_Blocked_From_Com_Sync";"Continuous Liftetime Test Cycle of the Flash Erasure Unit blocked due to connection of CAN";"Reason: Continuous Liftetime Test Cycle of the Flash Erasure Unit blocked due to connection of CAN.<newline/>Meaning: The SW in the Flash Erasure Unit is a special version for autonomous lifetimetest cycles. This cycles  run isolated from the PC. The trigger for the situation experienced here is, that the connection via CAN to a PC is active like in a complete Digitizer. And so the Flash Erasure Unit is not in the right setting to proceed the lifetime test. The reaction of the SW is that no lifetime test cycles start for safety. <newline/>Cure: Load new Software, restart."
"316";"FEU_Temp_Over_Limit";"FEU Electronic Temp Over Limit";"Reason: Monitoring of Temperature finds a too high Temperature at Erasure Unit inside. <newline/>Meaning: The cooling is hindered or defect. Future hardware overtemperature stop is likely. No safe Erasure Operation allowed. <newline/>Cure: Check Fans, Fan Airflow and Openings, Environment Temperature."
"317";"FEU_Flash_On_Time_Limit_Failure";"Flashing terminated by timeout. Stop Flashlight Cmd missing, Another SW Module failed to react after max. Time Limit. ";"Reason: Communication to Flash Erasure Unit disturbed. Or another SW-Module does not react.<newline/>Meaning: The Flash Cycle was started and not ended by a received command but via timeout. <newline/>Cure: Restart Digitzer, Load new Software, Replace Erasure Unit. "
"318";"FEU_Elo_Temp_Sensor_Offset_Failure";"Electronic Temperatur Sensor Offset Failure, possible wire break";"Reason: Temperature sensor values invalid.<newline/>Meaning: The values indicate also a wire break, or defect in the electronic inside the Erasure Unit.   <newline/>Cure: Restart Digitzer. Operate at specified environment temperature. Replace Erasure Unit"
"319";"FEU_Elo_Temp_Sensor_Out_Of_Range";"Electronic Temperatur Sensor out of Range";"Reason: Temperature sensor values out of the valid measurement and calculation range.<newline/>Meaning: Calculation of raw values to temperature degrees failed. Raw values are out of range.   <newline/>Cure: Restart Digitzer. Operate at specified environment temperature. Replace Erasure Unit"
"320";"FEU_Flash_Volt_Out_Of_Range";"Flash Voltage sensed out of Range Limit";"Reason: Flash Voltage measured out of the valid operation range limits.<newline/>Meaning: Flash Energy is decreased. Electronic is defect.<newline/>Cure: Restart Digitzer. Load new Software. Replace Erasure Unit"
"321";"FEU_Trig_Volt_Out_Of_Range";"Trig Voltage sensed out of Range Limit";"Reason: Trigger Voltage measured out of the valid operation range limits.<newline/>Meaning: Trigger Energy is decreased. Electronic defect.<newline/>Cure: Restart Digitzer. Load new Software. Replace Erasure Unit"
"322";"FEU_Prepare_Flashing_Failed_At_Condition_Check";"Prepare Flashing  failed due to a error detected at the condition check";"Reason: Command to Prepare Flashing failed as at the check for operation conditions of the Erasure Unit a parameter is outside of the valid operation range limits.<newline/>Meaning: Flashing could not be started with valid operation conditions.<newline/>Cure: Restart Digitzer. Retry Erasure Operation. Load new Software. Replace Erasure Unit"
"323";"FEU_Flash_Volt_Out_Of_Range_At_Flash_On";"Flash Voltage sensed out of Range Limit at Flash active On";"Reason: Flash Voltage measured out of the valid operation range limits during the active Flashing On period.<newline/>Meaning: Flash Energy is decreased. Electronic is defect.<newline/>Cure: Restart Digitzer. Load new Software. Replace Erasure Unit"
"324";"FEU_Start_Flashlight_Failed_At_Condition_Check";"Start Flashlight failed due to a error detected at the condition check";"Reason: Command to Start Flashlight failed as at the check for operation conditions of the Erasure Unit a parameter is outside of the valid operation range limits.<newline/>Meaning: Flashing could not be started with valid operation conditions.<newline/>Cure: Restart Digitzer. Retry Erasure Operation. Load new Software. Replace Erasure Unit"
"325";"FEU_Flash_Pulse_Cycle_Count_Out_Of_Range";"Counted Flash Pulses during Cycle are out of Range Limit";"Reason: During the active Flashing On period the expected and the measured value of counted Flash Pulses is outside of the valid operation range limits.<newline/>Meaning: Flashing could not be proceeded with valid operation conditions.<newline/>Cure: Restart Digitzer. Retry Erasure Operation. Load new Software. Replace Erasure Unit"
"326";"FEU_Speed_Calc_Impossible_Invalid_Used_Parameters";"Erasure Speed Calculation impossible due to invalid used input parameters";"Reason: Parameter for the calculaton is outside of the valid operation range limits.<newline/>Meaning: Flash movement speed could not be calculated with valid parameter.<newline/>Cure: Restart Digitzer. Retry Erasure Operation. Load new Software. Replace Erasure Unit"
"400";"FEU_Liftetime_Test_Cycle_SW_Present";"Warning: SW Version for Liftetime Test Cycle present in Flash Erasure Unit";"Reason: SW Version for Liftetime Test Cycle presently loaded into Flash Erasure Unit. <newline/>Meaning: This is a Warning Message, No Error.<newline/>Cure: Check if you want to perform a lifetime Test Cycle. If so this is the right SW."
"401";"FEU_Lamp_Fan_Speed_RPM_Out_Of_Tolerance";"Warning: Lamp Fan Speed RPM Out Of Tolerance";"Reason: Lamp Fan Speed RPM Signal Out Of Tolerance. <newline/>Meaning: Fan speed is not in expected tolerance range. The fan connections inside can be mixed up, too.<newline/>Cure: Watch for increased number of this warning. This indicates a weak fan. "
"402";"FEU_Electronic_Fan_Speed_RPM_Out_Of_Tolerance";"Warning: Electronic Fan Speed RPM Out Of Tolerance";"Reason: Electronic Fan Speed RPM Signal Out Of Tolerance. <newline/>Meaning: Fan speed is not in expected tolerance range. The fan connections inside can be mixed up, too.<newline/>Cure: Watch for increased number of this warning. This indicates a weak fan."
"403";"FEU_Warn_Simmer_Protection_Time_Limit_Failure";"Warning: Simmer Current Protection failed to react after max. Time Limit";"Reason: Simmer Current Protection failed to react after max. Time Limit. <newline/>Meaning: The electronic circuitry does not switch off the Simmer Current in the needed time. Active for error message from HW-Ver. 2 on. Before a warning is generated.<newline/>Cure: Use the correct Hardware Version. Change Erasure Unit."
"404";"FEU_Warn_Temp_Over_Limit";"Warning: FEU Electronic Temp Over Limit";"Reason: Monitoring of Temperature finds a high Temperature at Erasure Unit inside. <newline/>Meaning: The cooling is hindered or defect. Future hardware overtemperature stop of the Erasure Unit is possible if the temperature still rises. <newline/>Cure: Check Fans, Fan Airflow and Openings, Environment Temperature."
"405";"FEU_Warn_Lamp_Fan_Speed_RPM_Too_Low";" Warning:Lamp Fan Speed RPM Too Low. Occured during Erasure Operation. This current operation is finished normally. ";"Reason: Lamp Fan Speed RPM Signal Too Low<newline/>Meaning: Fan is stopped, blocked or unconnected. Fan is defect or Electronic board defective at fan circuitry.<newline/>Cure: Restart digitzer, Check fan openings for blocking, Change Flash Erasure Unit."
"406";"FEU_Warn_Electronic_Fan_Speed_RPM_Too_Low";" Warning: Electronic Fan Speed RPM Too Low. Occured during Erasure Operation. This current operation is finished normally. ";"Reason: Electronic Fan Speed RPM Signal Too Low, fan is stopped or blocked<newline/>Meaning: Fan is stopped, blocked or unconnected. Fan is defect or Electronic board defective at fan circuitry.<newline/>Cure: Restart digitzer, Check fan openings for blocking, Change Flash Erasure Unit."
"407";"FEU_Warn_Elo_Temp_Sensor_Out_Of_Range";" Warning: Electronic Temperatur Sensor out of tolerance Range";"Reason: The test of measurement failed as the valid range at the ADC is violated. <newline/>Meaning: Internal error in SW, or defect electronic.<newline/>Cure: Restart Digitzer. Load new Software. Replace Erasure Unit"
"408";"FEU_Warn_Flash_Volt_Out_Of_Tol";" Warning: Flash Voltage sensed out of tolerance Range";"Reason: Flash Voltage measured is not exact at the target value.<newline/>Meaning: Flash Energy is not exact at target value. Electronic has large tolerances.<newline/>Cure: Watch Infocounters for Erasure Unit Errors."
"409";"FEU_Warn_Trig_Volt_Out_Of_Tol";" Warning: Trig Voltage sensed out of tolerance Range";"Reason: Trigger Voltage measured is not exact at the target value.<newline/>Meaning: Flash Energy is not exact at target value. Electronic has large tolerances.<newline/>Cure: Watch Infocounters for Erasure Unit Errors."
"410";"FEU_Warn_Flash_Volt_Out_Of_Tol_At_Flash_On";" Warning: Flash Voltage sensed out of tolerance Range at Flash active On";"Reason: Flash Voltage measured is not exact at the target value.<newline/>Meaning: Flash Energy is not exact at target value. Electronic has large tolerances.<newline/>Cure: Watch Infocounters for Erasure Unit Errors."
"411";"FEU_Warn_Flash_Pulse_Cycle_Count_Out_Of_Tol";"Counted Flash Pulses during Cycle are out of Tolerance";"Reason: Flash Pulses Counted are not exact at the target value.<newline/>Meaning: Flash Energy is not exact at target value. Electronic has tolerances.<newline/>Cure: Watch Infocounters for Erasure Unit Errors."
"412";"FEU_Warn_Flash_Pulse_Start_Count_Out_Of_Tol";"Counted Flash Pulses during Simmer Start are out of Tolerance, and different from initiated Pulses";"Reason: Flash Pulses Counted are not exact at the target value.<newline/>Meaning: Flash Start Procedure is not exact at target value. Electronic has tolerances.<newline/>Cure: Watch Infocounters for Erasure Unit Errors."
