"ErrorCode";"Identifier";"Meaning";"Reason";"Cure"
"'20407";"E_SCD_PRESENT_SWP_RET";"";"";""
"'20408";"E_SCD_DAQ_RMSCOM";"";"";""
"'20420";"E_SCD_PRESENT_SWP_AMP";"Address SCB_DAC_ADD on scan control board not found. - SCB defective. ";"- Scan control board (SCB) not or badly inserted.";"Check / insert / replace SCB."
"'20421";"E_SCD_PRESENT_INTCTRL";"Address INTERR_CTRL on scan control board not found. - SCB defective. ";"- Scan control board (SCB) not or badly inserted.";"Check / insert / replace SCB."
"'20422";"E_SCD_PRESENT_MIG";"Address MIG_STAT_CTRL on scan control board not found. - SCB defective. ";"- Scan control board (SCB) not or badly inserted.";"Check / insert / replace SCB."
"'20423";"E_SCD_ALLOC_IVEC";"Allocation of 32 contiguous interrupt vectors failed. ";"Serious problems with operating system.";"Check if software is installed correctly."
"'20424";"E_SCD_FIND_IVEC";"Could not find interrupt vector with 4 least significant bits = 0. ";"Serious problems with operating system.";"Check if software is installed correctly."
"'20425";"E_SCD_IVEC_BASE";"No valid interrupt vector available for scanning. ";"Initialisation of interrupt vectors failed.";"Check if software is installed correctly."
"'20426";"E_SCD_FIFO_OVERFLOW";"Pixels were probably lost due to pixel FIFO overflow. too much CPU time. So the FIFO could not be read out in time. port serial channel. ";"Any high-priority software part in the device consumed";"Check software error messages during scan at the CPU front"
"'20427";"E_SCD_ADC_NUMBER";"A/D converter number out of range at driver call. ";"Software error.";"Check software configuration."
"'20428";"E_SCD_ADC_TIMEOUT";"A/D converter on scan control board (SCB) did not respond within a given time. ";"SCB defective.";"Check / replace SCB."
"'20429";"E_SCD_SCB_RMSCOM";"Communication with rotating shutter driver board failed ";"Most probably hardware problem.";"Check RMS board, cables to RMS and power supply of RMS"
"'2042A";"E_SCD_ADC_VALUE_MISMATCH";"AD7777 A/D converter on scan control board (SCB) delivered two values, which diferred too much. ";"A/D converter or soldering on SCB defective.";"Check / replace SCB."
"'20430";"E_SCD_SCB_ALLOC_SHARED";"Allocating shared memory for SMB or SSB drivers failed. shared memory with different sizes. - Operating system out of resources (rather unlikely). All parts, using the SCD library must have linked the same version. ";"- Software version mismatch: Two components try to allocate";"Check if software is installed correctly."
"'20431";"E_SCD_SCB_SHARED_VERSION";"The shared memory version code does not match. shared memory with different overlayed structures. All parts, using the SCD library must have linked the same version. ";"Software version mismatch: Two components try to allocate";"Check if software is installed correctly."
"'20432";"E_SCD_SCB_INIT_DATA";"The shared SCB driver data has just been initialized. ";"This error should never occur!";"No cure."
"'20433";"E_SCD_SCB_PRESENT_SMB";"The scan master board (SMB) could not be found on PCI bus. - Board defective. ";"- Board not plugged in correctly.";"Plug in or replace SMB."
"'20434";"E_SCD_SCB_PRESENT_SSB";"The scan slave board (SSB) could not be found on PCI bus. - Board defective. ";"- Board not plugged in correctly.";"Plug in or replace SSB."
"'20435";"E_SCD_SCB_ADDR_UNINOUT1";"The SCB register UNIVERS_IN_OUT1 could not be accessed. ";"FPGA software not loaded or wrong FPGA software.";"Check if software is installed correctly."
"'20436";"E_SCD_SCB_DMA_MEM";"Physical memory for DMA could not be allocated. ";"Operating system out of resources.";"Check system configuration (hardware and software)."
"'20437";"E_SCD_SCB_BAD_INUM";"The scan control board (SMB or SSB) returned a wrong interrupt number. In case of scanning problems, replace scan control board. ";"EPROM for AMCC 5933 PCI controller contains incomplete data.";"The software takes a default interrupt number."
"'20438";"E_SCD_SCB_CREATE_INTERRUPT";"Interrupt could not be created. ";"Operating system problem.";"Check if software is installed correctly."
"'20439";"E_SCD_SCB_SET_IHOOK";"Setting the PCI interrupt hook function failed. ";"Operating system problem.";"Check if software is installed correctly."
"'2043A";"E_SCD_SCB_CREATE_TASK";"Creating the SCB interrupt handler task failed. ";"Operating system problem.";"Check if software is installed correctly."
"'2043B";"E_SCD_SCB_WAIT_TASKSTART";"Error or timeout, while waiting for SCB interrupt task having started up. ";"Operating system problem.";"Check if software is installed correctly."
"'2043C";"E_SCD_SCB_MAILBOX";"The AMCC DMA controller on the scan control board shows the wrong data during initialisation. - Hardware problem on scan control board. - Replace scan control board (SMB or SSB). ";"- Wrong FPGA version.";"- Check if software is installed correctly."
"'2043D";"E_SCD_SCB_WAIT_BLOCK";"Timeout or error while waiting for the next block of image data. ";"";"Check if software is installed correctly."
"'2043E";"E_SCD_SCB_POST_TASKSTART";"Posting the interrupt task start event failed. ";"Operating system problem.";"Check if software is installed correctly."
"'2043F";"E_SCD_SCB_HW_VERS_MISMATCH";"The AMCC DMA controller and the scan control board (SMB or SSB) show different versions. Production: Load correct revision code to NVRAM ! ";"Error at board production.";"Replace scan control board (SMB or SSB)."
"'20440";"E_SCD_SCB_FIFO_HALF";"At least one pixel FIFO half full interrupt detected. Risk of FIFO overflow. Only warning. ";"";""
"'20441";"E_SCD_SCB_VOLT_FAIL";"At least one of the needed voltages was not ok during scan. ";"";"Check voltage indicator LEDs."
"'20442";"E_SCD_SCB_DMA_BUF_OVERFLOW";"There was at least one DMA ring buffer overflow during scan. following buffer acquisition (BAC) software. Bad disk, system overload, ... ";"The image data was not stored away quick enough by the";""
"'20443";"E_SCD_SCB_FIFO_FULL";"Pixel FIFO full condition detected. Pixels were lost. Reinstall software. Check hardware. ";"System overload, software error or hardware malfunction.";"Check for other errors with REM tool. Reset system."
"'20444";"E_SCD_SCB_ADC_UF";"Pixel A/D converter underflow detected (negative voltage). ";"Noise in combination with OpAmp offset.";"No cure. This error code is for information only."
"'20445";"E_SCD_SCB_ADC_OF";"Pixel A/D converter overflow detected. - Wrong photomultiplier parameters MFA and MFB. Check if photomultiplier parameters are correct (either as from production or from spare part floppy). ";"- Overexposed image plate.";"Check for correct exposure and speed class."
"'20446";"E_SCD_SCB_LD_N_OK";"Laser diode not ok condition detected during scan. - Any cable defective or not connected properly. - Defective laser control board or scan master board (SMB). Check laser diode module and cable. Replace if necessary. If this does not help, replace SMB. ";"- Laser is old and needs to be replaced soon.";"Check if resulting image is ok."
"'20447";"E_SCD_SCB_FPGA_VERS_MISMATCH";"The scan control board (SMB or SSB) version and the FPGA version do not match. its content. File was probably renamed. ";"The version xx of the file scnctlxx.bin is different than";"Reinstall software."
"'20448";"E_SCD_SCB_WAIT_BOL2BOL";"Timeout or error while waiting for the result of the BOL to BOL time measurements. ";"";"Check if software is installed correctly."
"'20449";"E_SCD_SCB_FACET_DETECTION";"There were problems in detecting the first polygon facet. This results in a banding on the image, repeating every 6 lines. ";"";""
"'20450";"E_SCD_SCB_P8V_NOK";"The IOBUS voltage +8V is not ok. ";"";"Check voltage indicator LEDs, SMB, cables, ..."
"'20451";"E_SCD_SCB_P24V_NOK";"The voltage +24V is not ok. ";"";"Check voltage indicator LEDs, SMB, cables, ..."
"'20452";"E_SCD_SCB_N15V_SMB_NOK";"The SMB internally generated voltage -15V is not ok. ";"";"Check / replace SMB."
"'20453";"E_SCD_SCB_P15V_SMB_NOK";"The SMB internally generated voltage +15V is not ok. ";"";"Check / replace SMB."
"'20454";"E_SCD_SCB_N15V_NOK";"The voltage -15V is not ok. ";"";"Check voltage indicator LEDs, SMB, cables, ..."
"'20455";"E_SCD_SCB_P15V_NOK";"The voltage +15V is not ok. ";"";"Check voltage indicator LEDs, SMB, cables, ..."
"'20456";"E_SCD_SCB_N15V_SSB_NOK";"The SSB internally generated voltage -15V is not ok. ";"";"Check / replace SSB."
"'20457";"E_SCD_SCB_P15V_SSB_NOK";"The SSB internally generated voltage +15V is not ok. ";"";"Check / replace SSB."
"'20458";"E_SCD_SCB_P5V_RDR_NOK";"The voltage +5V for the tag reader is not ok. ";"";"Check voltage indicator LEDs, SMB, cables, ..."
"'20459";"E_SCD_SCB_OPEN_DMA";"Opening the DMA channel failed. ";"Operating system problem.";"Check if software is installed correctly."
"'2045A";"E_SCD_SCB_SET_DMAHOOK";"Setting the DMA hook function failed. ";"Operating system problem.";"Check if software is installed correctly."
"'20500";"E_SCN_SERVICE_MODE";"Service mode to scanner active. No regular scan with cassette handling possible. reserved the scanner for its exclusive use. no exclusive access to scanner any more. ";"A service program (e.g. SCNTST or diagnostic software)";"No error condition. Code disappears, when service program needs"
"'20501";"E_SCN_LASER_WAIT";"Laser power is below or equal the alarm level during initial starting phase. Machine status is ""locked"", but emergency cassettes are accepted. its operating temperature. If the laser power does not become ok or warning during 20 minutes, an error is displayed. ";"Machine was just switched on and the laser has not yet";"This is not an error condition."
"'20502";"E_SCN_WARNING";"Scanner warning. Possible bad image. ";"Various.";"Check previous errors with REM tool."
"'20503";"E_SCN_NO_SHD_CORR";"No valid shading correction file available for given scan format. Constant correction line used. - File version or size not correct. - Important scanning parameters have changed. ";"- File not present.";"Calibrate given scan format."
"'20504";"E_SCN_CASS_ID_ERR";"Accepting next IP parameters failed. ";"Various.";"Check previous errors with REM tool."
"'20505";"E_SCN_LASER_ALARM";"Laser power after the warming-up phase is still below or equal las_pow_alarm. Machine status is ""locked"". - bad (dusty) optics - pd_factor not correct In the long term, replace the laser, if it is bad. ";"- old laser with too low power";"Confirm message on user terminal and continue operation."
"'20506";"E_SCN_LASER_SHUTDOWN";"Laser power after the warming-up phase is still below or equal las_pow_shtdn. No operation possible. - Laser beam not visible by PIN diodes. - Cable to PIN diode board disconnected or defective. - Polygon gets no power or sweep signal. - PIN diode board defective. - pd_factor not correct. - Bad (dusty) optics. - Check if nothing hides the laser beam. - Check the polygon power. - If laser is bad, replace laser. ";"- Old laser with too low power.";"- Check cable and connectors to PIN diode board."
"'20507";"E_SCN_LASER_WAIT_SHTDN";"Laser power is below or equal the shutdown level during initial starting phase. Machine status is ""locked"". its operating temperature. - Bad laser. - Laser beam not visible by PIN diodes. - Polygon gets no power or sweep signal. If the laser power does not become ok or warning during 20 minutes, an error is displayed. ";"- Machine was just switched on and the laser has not yet";"This is not yet an error condition."
"'20510";"E_SCN_IFC_NOT_ATTACHED";"The calling component is not attached to SCN and thus cannot communicate. ";"Programming error.";"No cure without new software. Contact Service International."
"'20511";"E_SCN_IFC_SMSHARE";"Getting shared memory at attach to SCN component failed. ";"";"Check software setup. Reinstall software."
"'20512";"E_SCN_IFC_VERSION";"The versions of the SCN interface, linked to the calling component, and the SCN component are different. Due to incompatibilities, no communication is possible. ";"Not all *.PRG files are of the same release.";"Install the complete software release."
"'20513";"E_SCN_IFC_RESPONSE1";"Unknown response from SCN component. Otherwise contact service international. ";"Programming error.";"Ignore, if no further errors."
"'20514";"E_SCN_IFC_EXD_ERR";"Error code detected in response to scan_ip command. ";"Error during scanning.";"Check previous errors with REM tool."
"'20515";"E_SCN_IFC_EXD_EV";"scn_get_exposure_dose() was called on a non scn_scan_ip response. Default used. ";"Programming error.";""
"'20516";"E_SCN_IFC_FNR_ERR";"The response to a SCN function call returned an error. ";"Called function failed.";"Depending on called function."
"'20517";"E_SCN_IFC_FNR_CTL_LEN";"Response from SCN function call contained no control block with valid data. ";"Programming error.";""
"'20518";"E_SCN_IFC_FNR_IMG_LEN";"MMS control block contains no image data. ";"No image block available for service interface (e.g. SCNTST).";"Scan an image first."
"'20519";"E_SCN_IFC_GPC_ERR";"Error code detected in response to scn_pin_monitor command. Reported number of visible PIN diodes might not be correct. ";"";""
"'2051A";"E_SCN_IFC_GPC_EV";"scn_get_pin_count() was called on a non scn_pin_monitor response. Default used. ";"Programming error.";""
"'2051B";"E_SCN_IFC_GLP_ERR";"Error code detected in response to scn_las_monitor command. Reported laser power might not be correct. ";"";"Check if polygon and laser work correctly."
"'2051C";"E_SCN_IFC_GLP_EV";"scn_get_las_pow() was called on a non scn_las_monitor response. Default used. ";"Programming error.";""
"'2051D";"E_SCN_IFC_NOT_STARTED";"The version number of the SCN shared memory is 0. Attach to SCN failed (this time). Else: check settings, if SCN is started. ";"SCN is not started (yet).";"In certain operation modes: ignore !"
"'2051E";"E_SCN_IFC_GBB_ERR";"Error code detected in response to scn_req_bol_bos_data command. ";"";"Check status and check other log entries with REM tool."
